nome_municipio;id_municipio;dist_base_atendimento_km;score_final_medio
Itaocara;3302106;291.27764116131937;0.2752772114579518
Maricá;3302700;323.5578253203426;0.3874894361528845
Niterói;3303302;301.2767064915608;0.32233021304989656
Paraty;3303807;280.88028350928863;0.3065260677023778
Paty do Alferes;3303856;241.0258197912347;0.302829815962812
Pinheiral;3303955;219.5806642219253;0.32426938252295145
Porto Real;3304110;198.98725123878998;0.396011372555036
Rio das Flores;3304508;208.12527268279422;0.3311428779583405
Rio de Janeiro;3304557;298.1828374891563;0.4028831487397234
Sapucaia;3305406;245.18014973183517;0.3431766780834369
São Fidélis;3304805;315.92457676290866;0.2605234124021245
São José de Ubá;3305133;281.04836749446446;0.27789826151344604
São João de Meriti;3305109;278.4473136167761;0.28799407231514257
Tanguá;3305752;314.8147207628199;0.2731388603339508
Valença;3306107;207.1249446346515;0.3387321565097629
Vassouras;3306206;224.6283531601168;0.32360255164191715
Alumínio;3501152;402.005659571372;0.28391116673413624
Américo de Campos;3501806;512.9831377205386;0.19821811711846518
Araçatuba;3502804;585.3828786556793;0.2168021028527878
Areias;3503505;209.52084938867702;0.3196591456327817
Artur Nogueira;3503802;319.5623141549585;0.2677434766748066
Bady Bassitt;3504602;479.7352002494665;0.22566097870455382
Bananal;3504909;226.56666928063896;0.3161000988474754
Barão de Antonina;3505005;586.3130057873702;0.18471381710699625
Bilac;3506409;591.0631060411912;0.1886665138037406
Boa Esperança do Sul;3506706;395.90221512726936;0.2352993163800542
Bálsamo;3504800;494.8041757226941;0.21009251829269704
Cabreúva;3508405;374.97205960514697;0.2811999757079608
Capela do Alto;3510302;429.82881905631405;0.2199953077364606
Casa Branca;3510807;262.4975186110377;0.2979527780152951
Castilho;3511003;692.5166111802718;0.2242678292227111
Caçapava;3508504;281.94466291696097;0.30291722638553337
Cedral;3511300;461.795150136556;0.2281140727304648
Cordeirópolis;3512407;335.69873314691574;0.3120285438458627
Duartina;3514502;510.5611131740883;0.20750458271851635
Echaporã;3514700;588.2666834047893;0.1885437096726391
Elisiário;3514924;448.1226254711165;0.2212958884382904
Embu-Guaçu;3515103;403.65818893254146;0.23335342287333205
Garça;3516705;526.9826174350235;0.20870643458206717
Guaraci;3517901;428.3746858126437;0.2313274085691846
Guaratinguetá;3518404;237.5496414701402;0.3370434649360856
Guarujá;3518701;394.29908990058516;0.24919468342015103
Holambra;3519055;315.0398080413061;0.2859227312839813
Iacanga;3519105;455.02994688757127;0.23632819556270496
Iperó;3521002;417.3048762254948;0.2303645039511797
Itapura;3523008;694.6664684765021;0.17081155196706535
Ituverava;3524105;311.0056258876689;0.2798508385669372
Jaci;3524501;494.25774219939365;0.23768968836024518
Jacupiranga;3524600;551.193390593992;0.21463383791184149
Jales;3524808;597.75713371359;0.20997355703575676
Jambeiro;3524907;297.6724651214698;0.2872829811976349
Jundiaí;3525904;349.25089041710794;0.31583787573296596
Laranjal Paulista;3526407;405.92390442097934;0.2446107935845338
Lençóis Paulista;3526803;462.12594659144355;0.2403926488376969
Martinópolis;3529203;675.8574612218993;0.1821780201901842
Matão;3529302;380.12310389350415;0.2653257782250982
Mauá;3529401;370.49307878309145;0.26371716728805034
Miracatu;3529906;481.136549088256;0.22271264848464004
Mombuca;3530904;375.38312988913793;0.24380640776021606
Monte Aprazível;3531407;508.50764911338797;0.2146032739118366
Nhandeara;3532603;542.394933239657;0.2074476679115456
Nova Campina;3532827;565.8664756412423;0.1938769989719871
Nova Castilho;3532868;573.9387956971642;0.19208489735635806
Olímpia;3533908;424.5157646680354;0.24208218903720347
Orlândia;3534302;317.8818800062493;0.28251969080898454
Oscar Bressane;3534500;591.9380488192431;0.1918681718876691
Pacaembu;3534906;674.4044289560375;0.1757558552244602
Pedreira;3537107;311.6776152863149;0.2747321954311387
Piedade;3537800;428.80859982987636;0.22725708292581462
Piquete;3538501;215.4363738473599;0.3214778896764024
Pirangi;3539004;400.39954651363036;0.23804772433463295
Piratininga;3539400;484.33443055935254;0.2129137253049383
