ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1997;REGIÃO NORDESTE;RN;GASOLINA C;2403250;PARNAMIRIM                    ;9927675
1997;REGIÃO NORDESTE;RN;GASOLINA C;2405806;JOAO CAMARA                   ;793300
1997;REGIÃO NORDESTE;RN;GASOLINA C;2406209;LAGOA D'ANTA                  ;185000
1997;REGIÃO NORDESTE;RN;GASOLINA C;2406608;LAGOA SALGADA                 ;220000
1997;REGIÃO NORDESTE;RN;GASOLINA C;2407108;MACAIBA                       ;3008600
1997;REGIÃO NORDESTE;RN;GASOLINA C;2408007;MOSSORO                       ;19996530
1997;REGIÃO NORDESTE;RN;GASOLINA C;2408104;NATAL                         ;112318826
1997;REGIÃO NORDESTE;RN;GASOLINA C;2411202;SANTA CRUZ                    ;3352800
1997;REGIÃO NORDESTE;RN;GASOLINA C;2412004;SAO GONCALO DO AMARANTE       ;3999250
1997;REGIÃO NORDESTE;RN;GASOLINA C;2412608;SAO PAULO DO POTENGI          ;752000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2501805;BAYEUX                        ;7505350
1997;REGIÃO NORDESTE;PB;GASOLINA C;2503808;CALDAS BRANDAO                ;300200
1997;REGIÃO NORDESTE;PB;GASOLINA C;2504006;CAMPINA GRANDE                ;51552610
1997;REGIÃO NORDESTE;PB;GASOLINA C;2506300;GUARABIRA                     ;4310100
1997;REGIÃO NORDESTE;PB;GASOLINA C;2506807;INGA                          ;430000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2507501;JOAO PESSOA                   ;78723230
1997;REGIÃO NORDESTE;PB;GASOLINA C;2507706;JUAZEIRINHO                   ;397900
1997;REGIÃO NORDESTE;PB;GASOLINA C;2508303;LAGOA SECA                    ;445000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2512300;PRINCESA ISABEL               ;281300
1997;REGIÃO NORDESTE;PB;GASOLINA C;2512700;REMIGIO                       ;535000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2513404;SANTA LUZIA                   ;1265000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2513706;SANTA RITA                    ;4041100
1997;REGIÃO NORDESTE;PB;GASOLINA C;2513900;SAO BENTO                     ;355000
1997;REGIÃO NORDESTE;PB;GASOLINA C;2516004;SOLANEA                       ;1323250
1997;REGIÃO NORDESTE;PB;GASOLINA C;2517000;UMBUZEIRO                     ;255000
1997;REGIÃO NORDESTE;PE;GASOLINA C;2600200;AFRANIO                       ;540000
